type;nom;Secteur d'activités;Adresse;Téléphone;email;SIRET
AI;REAGIR;Mise à disposition de personnel;"1 Place de l'Ancien Tribunal
 67230 BENFELD";03 88 74 13 37;reagir67@wanadoo.fr;341 177 400 00072
AI;SERVIR;Mise à disposition de personnel;"1 chemin de Dorlisheim-CS29121
 67129 MOLSHEIM CEDEX";03 88 47 94 04;contact@servirplus.com;345 356 935 00022
AI;TREMPLINS;Mise à disposition de personnel;"2 rue St Léonard
 67600 SELESTAT";03 88 82 88 34;tremplins67@wanadoo.fr;388 991 788 00034
EI;ARASC;Service d'aide et de garde à domicile;"27 rue de Molsheim
 67000 STRASBOURG";03 88 55 99 99;contact@arasc.fr;342 041 688 00033
EI;AU PORT'UNES;Régie de quartier, entretien, nettoyage espaces verts;"2 rue d'Alger
 67100 STRASBOURG";03 88 60 50 33;info@auportunes.com;391 328 705 00036
EI;CITYVEILLE;Prévention, sécurité, télésurveillance (60 agents de sécurités sur le terrain);"10 rue du Château d'Angleterre
 67305 SCHILTIGHEIM CEDEX";03 88 28 04 28;contact@cityveille.fr;479 938 268 00022
EI;NOVEA 67;Courses et livraisons rapides;"4 rue de Haguenau
 67000 STRASBOURG";03 90 22 50 55;strasbourg@novea.fr;404 230 591 00038
EI;CRENO;Régie de quartier, entretien, nettoyage espaces verts;"16 rue Hannah Arendt
 67200 STRASBOURG";03 88 27 15 16;creno-regie@orange.fr;393 949 052 00020
EI;ELSAU NET;Nettoyage industriel (tout chantier);"52 rue de l'Unterelsau
 67200 STRASBOURG";03 88 29 95 63;elsaunet.ass@wanadoo.fr;391 493 160 00033
EI;EMI INTER;Entretien général de bâtiments collectifs, entretien espaces extérieurs dont espaces verts, petites réparations;"1 allée des Foulons-B.P. 73
 67382 LINGOLSHEIM CEDEX";03 88 78 05 99;emi.inter@wanadoo.fr;412 632 465 00032
EI;ENVIE;Reconditionnement d'électroménager;"6 rue Herrade
 67200 STRASBOURG";03 88 10 04 30;envie.strasbourg@envie.org;330 542 176 00046
EI;ENVIE 2E;Collecte d'appareils usagés électriques, électroniques;"6 rue Herrade
 67200 STRASBOURG";03 88 10 04 33;envie.strasbourg@envie.org;492 661 657 00014
EI;COOPERATIVE DE LA FERME SAINT ANDRE;Production et commercialisation de produits maraîchers et laitiers;"6 rue de la Chapelle
 67490 FRIEDOLSHEIM";03 88 70 20 86;insertionferme@orange.fr;834 856 106 00010
EI;ID'AL;Aménagement et entretiens espaces verts, déchetterie, sous traitance industrielle;"6 rue de Weyer 
 67320 DRULINGEN";03 88 01 22 42;idal67@orange.fr;413 055 179 00019
EI;INDUSTRIE SERVICE;Sous-traitance industrielle, services aux entreprises, échafaudages, stockage, préparation de commandes. http://www.echafaudage-industrie-service.com;"2 rue de la Zinsel
 67590 SCHWEIGHOUSE/MODER";03 88 72 72 35;industrie-service@wanadoo.fr;420 203 135 00033
EI;MEINAU SERVICES;Régie de quartier, nettoyage immeubles, entretiens espaces verts, réparations locatives;"46 avenue de Normandie
 67100 STRASBOURG";03 88 79 39 93;regie@meinauservices.com;38485031900045
EI;GROUPE A5 (NATURE ET TECHNIQUES et NTI);Protection, restauration et valorisation d'espaces naturels en site rural ou urbain, intervention sur milieux aquatiques, forestier, agricole;"5 rue des Tulipes
 67600 MUTTERSHOLTZ";03 88 85 14 58;contact@nature-techniques.fr;382 445 864 00020
EI;PRESTA'TERRE;Toutes prestations de services agricoles, forestiers ou paysagers et production de biens agricoles et forestiers;"ZA du Heidfeld - Rte de Schirrhein
 67240 OBERHOFFEN SUR MODER";03 88 29 36 33;l.degardelle@presta-terre.fr;514 586 916 00025
EI;REGIE DES ECRIVAINS;Régie de quartier, entretien et nettoyage, maintenance et rénovation, espaces verts;"1 rue Verlaine
 67300 SCHILTIGHEIM";03 88 19 90 49;direction@regiedesecrivains.com;388 276 180 00022
EI;ENTRAIDE EMPLOI INDUSTRIE ENVIRONNEMENT;Sous-traitance industrielle;"Rte de saverne - B.P.60221 STEINBOURG
 67708 SAVERNE CEDEX";03 88 71 81 59;rkern@entraide-emploi.fr;389 505 439 00023
EI;SCOP ESPACES VERTS;Aménagement et entretien d'espaces verts;"Rue du Tramway
 67114 ESCHAU";03 88 59 05 00;m.reutenauer@scop-espaces-verts.fr;327 408 191 00036
EI;SCOPROBAT;Régie de quartier, entretien nettoyage, atelier et magasin de quartier, second œuvre bâtiment,peinture, laverie, blanchisserie;"7 rue des Eyzies - BP 30051
 67020 STRASBOURG CEDEX 01";03 88 79 08 34;infos@scoprobat.fr;434 748 505 00014
EI;SINEO STRASBOURG;Nettoyage de véhicules (produits biodégradables);"rue Forlen
 67118 GEISPOLSHEIM";03 90 20 38 48;strasbourg@sineo.fr;803 257 674 00033
EI;SISTRA;Sous-traitance industrielle;"36 rue Jacobi Netter 
 67200 STRASBOURG";03 90 20 65 65;contact@sistra.fr;424 337 863 00031
EI;TERRE D'APPELS;Centre d'appels;"1 rue Job
 67100 STRASBOURG";03 69 09 22 62;terrain@terredappels.fr;517 702 296 00032
EI;NO HAY CAMINO;restauration/traiteur;"179 Rue Basse
 67540 WANGEN";03 88 19 46 28;nohaycamino@outlook.fr;802 709 071 00012
ACI;ENTRAIDE EMPLOI;Entretien des espaces verts, entretien et nettoyage de locaux;"1 Rue de Steinbourg
 67700 MONSWILLER";03 88 91 66 11;rkern@entraide-emploi.fr;350 584 769 00029
ACI;APOIN;Recyclage et valorisation des déchets, espaces verts;"11 Rue du Ried - Z.I. du Ried
 67590 SCHWEIGHOUSE/MODER";03 88 07 49 86;blanchard.apoin@orange.fr;418 224 382 00022
ACI;FDC CARIJOU;Collecte, stockage, reconditionnement et commercialisation de jouets;"45 rue du Fbg National 
 67000 STRASBOURG";03 88 32 83 69;info@la-cite-relais.fr;775 642 044 00082
ACI;FDC LA CITE RELAIS - PEINTURE;Rénovation d'appartements, peinture, tapisserie et revêtements de sols, pose de cloisons, isolation, coulage de dalles;"5 rue Eugène Delacroix
 67200 STRASBOURG";03 88 30 20 54;info@la-cite-relais.fr;775 642 044 00132
ACI;FDC LES 7 PAINS;Restauration Sociale;"8 rue de l'Arc en Ciel
 67000 STRASBOURG";03 88 24 71 02;info@la-cite-relais.fr;775 642 044 00074
ACI;"EMMAUS CENTRE ALSACE ""l'ETIKETTE""";Tri, préparation et vente de textiles et de jouets;"2 rue Baudinot
 67600 SELESTAT";03 88 82 05 24;etikette@emmaus-alsace.com;342 642 071 00035
ACI;EMMAUS MUNDOLSHEIM;Collecte, tri, recyclage et vente d'objets d'occasion;"4 rue du Général Rapp
 67450 MUNDOLSHEIM";03 88 18 15 61;mundolsheim@emmaus-alsace.com;481 407 914 00011
ACI;GRETA - J'OFFRE;Métiers du Bâtiment;"Fort Joffre
 67810 HOLTZHEIM";03 88 40 77 00;jramel@strasbourg.greta.fr;196 721 989 00040
ACI;HA - SOLIBAT - ERSTEIN;Mise en peinture, pose de papier peint, enlèvement de graffitis, déménagement et nettoyage de locaux;"6 rue des Sœurs
 67150 ERSTEIN";03 88 98 81 65;ci-solibat.cus@orange.fr;304 614 985 00139
ACI;HA - SOLIBAT CUS;Mise en peinture, pose de papier peint, enlèvement de graffitis, déménagement et nettoyage de locaux;"2 rue d'Alger
 67100 STRASBOURG";04 88 98 81 65;ci-solibat.cus@orange.fr;304 614 985 00139
ACI;HUMANIS - informatique;Réhabilitation de matériel informatique;"7 rue du Héron
 67300 SCHILTIGHEIM";03 88 26 26 26;aci@humanis.org;410 043 426 00031
ACI;HUMANIS - logistique;Récupération et reconditionnement de machines à coudre, de matériel médical et scolaire;"7 rue du Héron
 67300 SCHILTIGHEIM";03 88 26 26 26;aci@humanis.org;410 043 426 00031
ACI;IDEAL;Entretien des espaces verts;"6 rue Weyer
 67320 DRULINGEN";03 88 01 22 42;idal67@orange.fr;433 152 725 00019
ACI;LA BANQUE ALIMENTAIRE;Collecte et tri de denrées alimentaires;"9 rue de l'Industrie
 67400 ILLKRICH GRAFFENSTADEN";03 88 40 30 40;contact@bancalim67.org;342 295 730 00044
ACI;CSC VICTOR SCHOELCHER LE PETIT GOURMAND;Restauration collective et traditionnelle, atelier de transformation et salon de thé;"56 rue du Rieth
 67200 STRASBOURG";03 88 77 76 75;aci.petit.gourmand@gmail.com;778 870 709 00038
ACI;les JMV - DISTRIBUTION;Cultures maraîchères, bio et transformation;"5 avenue du Cimetière
 67200 STRASBOURG";03 88 29 36 33;asso.jmv@wanadoo.fr;440 687 630 00051
ACI;les JMV - EXPL. AGRICOLE;Cultures maraîchères, bio et transformation;"5 avenue du Cimetière
 67200 STRASBOURG";03 88 29 36 33;asso.jmv@wanadoo.fr;440 687 630 00051
ACI;les JMV - TRANSFORMATION;Cultures maraîchères, bio et transformation;"5 avenue du Cimetière
 67200 STRASBOURG";03 88 29 36 33;asso.jmv@wanadoo.fr;440 687 630 00051
ACI;LIBRE OBJET;Fabrication d'objets conçus par des artistes;"91 route des Romains
 67200 STRASBOURG";03 88 32 81 55;libreobjet@wanadoo.fr;420 213 530 00025
ACI;MOBILEX;Rénovation, restauration et entretien de véhicules (autocars anciens, cyclomoteurs...);"Parc d'Activités Economiques ""les Couturiers"" 
 67242 BISCHWILLER CEDEX";03 88 53 98 18;direction@asso-mobilex.org;418 223 822 00036
ACI;ARSEA - L'ILE AUX EPIS;restauration et traiteur;2 rue de Sélestat - 67100 STRASBOURG;03 88 34 55 55;rene.muller@arsea.fr;778 870 113 00090
ACI;UTILECO CHANTIERS;Débroussaillage de la forêt Bâtiment-2d œuvre;"84 Grand'Rue
 67360 WOERTH";03 88 05 70 20;direction@reussir-alsace.fr;344 718 457 00049
ACI;SAVA - ENTRETIEN ESPACES NAT.;Entretien espaces naturels, renaturation de berges;"5 rue des Tulipes
 67600 MUTTERSHOLTZ";03 88 85 16 03;sava.association@free.fr;350 503 496 00027
ACI;SAVA - JARDINS;Cultures maraîchères, bio et transformation;"5 rue des Tulipes
 67600 MUTTERSHOLTZ";03 88 85 16 03;sava.association@free.fr;350 503 496 00027
ACI;SAVOIR ET COMPETENCE - ATLAS;Rénovation de matériel médical et petits travaux mécaniques et d’assemblage;"5 rue Denis Papin 
 67400 ILLKIRCH GRAFFENSTADEN";03 88 66 98 21;b.gschwind@sc-emploi.com;478 977 879 00020
ACI;TREMPLINS LINGE SERVICES;Repassage linge divers;"2 rue Saint Léonard
 67600 SELESTAT";03 88 82 84 85;tremplins67@wanadoo.fr;388 991 788 00034
ACI;TREMPLINS REMPARTS;Rénovation de bâtiments et monuments historiques;"2 rue Saint Léonard
 67600 SELESTAT";03 88 82 84 85;tremplins67@wanadoo.fr;388 991 788 00034
ACI;VETIS;Récupération de vêtements et commercialisation;"20 rue de Hoenheim
 67207 NIEDERHAUSBERGEN";03 90 40 27 60;vetis@wanadoo.fr;398 348 680 00065
ACI;"VILLE DE WISSEMBOURG ACI ""Les REMPARTS""";Entretien et réfection du mur d'enceinte de la ville de Wissembourg;"11 place de la République BP 10149
 67163 WISSEMBOURG";03 88 54 87 70;ci.remparts@mairie-wissembourg.fr;216 705 442 00012
