DEPARTEMENT,NOM,RUE,COMPLEMENT,COMPLEMENT 2,BP/CS,CODE POSTAL,COMMUNE,CEDEX,MAIL,TELEPHONE,SITE WEB
93,MISSION LOCALE,7-9 RUE DE LA LIBERTE,,,,93500,PANTIN,,,0119153800,
93,MISSION LOCALE,3 RUE DE ROME,BATIMENT SCHUMAN,,,93110,ROSNY-SOUS-BOIS,,,0156630200,
93,MISSION LOCALE,5 RUE JEAN JAURES,,,,93200,SAINT-DENIS,,contact.oe@objectifemploi-mlidf.org,0148131320,
93,MISSION LOCALE,10 AVENUE SALVADO ALLENDE,,,,93270,SEVRAN,,y.le-gall@sevran-mlidf.org,0141521391,
93,MISSION LOCALE,121-123 AVENUE DE ROSNY,,,BP 35,93250,VILLEMOMBLE,,c.dubut@mlgpv-mlidf.org,0148545654,http://www.villemomble.fr
67,DIRECTION TERRITORIALE DE LA PROTECTION JUDICIAIRE DE LA JEUNESSE,8 BOULEVARD DU PRESIDENT POINCARE,,,CS 40027,67081,STRASBOURG,CEDEX,dtpjj.strasbourg@justice.fr,0388215188,
62,DIRECTION TERRITORIALE DE LA PROTECTION JUDICIAIRE DE LA JEUNESSE,2-4-6 RIE SAINTE AGNES,RESIDENCE SAINTE AGNES,,,62000,ARRAS,,dtpjj-arras@justice.fr,0321212970,
93,DIRECTION TERRITORIALE DE LA PROTECTION JUDICIAIRE DE LA JEUNESSE,41 RUE DELIZY,IMMEUBLE LES DIAMANTS,BATIMENT A,,93692,PANTIN,CEDEX,dtpjj-pantin@justice.fr,0148108585,
67,SERVICE PENITENTIAIRE D'INSERTION ET DE PROBATION,20 RUE D'AGEN,SITE DIT MILUPA,,,68000,COLMAR,,,0369494040,
62,SERVICE PENITENTIAIRE D'INSERTION ET DE PROBATION,3 RUE DE L'ABBE HALLUIN,,,,62031,ARRAS,CEDEX,,0321603570,
93,SERVICE PENITENTIAIRE D'INSERTION ET DE PROBATION,28 BOULEVARD ORNANO,,,,93200,SAINT-DENIS,,,0185584930,
62,CAP EMPLOI,21 BOULEVARD VAUBAN,ACTIPHE SIME,,,62000,ARRAS,,contact@capemploi62arras.com,0321213680,
93,CAP EMPLOI,7 RUE GILBERT GATOUILLAT,UNIRH 93,,,93600,AULANY-SOUS-BOIS,,accueil-aulnay@capemploi93.org,0148198860,
67,CAP EMPLOI,140 RUE DU LOGELBACH,ACTION ET COMPETENCE,,,68000,COLMAR,,info@capemploi68-67.com,0389418812,
62,POLE EMPLOI,2 BIS RUE DE LA SYMPHORINE,,,,62000,ARRAS,,isabelle.syx@pole-emploi.fr,,
67,POLE EMPLOI ,24 AVENUE F. MITTERAND,,,BP 73012,67200,STRASBOURG,CEDEX,manuela.lambin@pole-emploi.fr,,
93,POLE EMPLOI,3 RUE GALILEE,,,,93160,NOISY-LE-GRAND,,mc.lavallee@pole-emploi.fr,,
