MESURE;CODE_DEPARTEMENT;LIBELLE_DPT;CODE_POSTAL;COMMUNE;CODE_NAF2;NATURE_JURIDIQUE;SIRET;DENOMINATION_SOCIALE;NUM_RUE;NOM_RUE;CODE_POST_COM;LIB_COM;TELEPHONE;MAIL_SIAE
AI;001;AIN;01600;TREVOUX;9499Z;Association déclarée ;48521009000026;ASSOC SERV EMPLOI DOMBES SAONE;627;Route DE JASSANS;01600;TREVOUX;0474000673;myriam.lantenois@servemploi.fr
EI;001;AIN;01100;OYONNAX;8130Z;Association déclarée d'insertion par l'économique;40049174200039;ENTREPRISE INSERTION DES JEUNES ET ADULTESDE L AIN;14;Rue GAGARINE;01100;OYONNAX;0474776174;eija@cegetel.net
ACI;001;AIN;01630;ST GENIS POUILLY;8899B;Association déclarée ;77554402601177;ALFA 3A;129;Rue DE TIOCAN;01630;ST GENIS POUILLY;;benedicte.salaun@alfa3a.org
AI;001;AIN;01000;BOURG EN BRESSE;7810Z;Association déclarée ;35099233500025;ASSOC BOU SOL;18;Rue MONTESQUIEU;01000;BOURG EN BRESSE;0474216818;direction@bousol.fr
AI;001;AIN;01750;REPLONGES;9499Z;Association déclarée d'insertion par l'économique;40250385800019;ASSOC VAL DE SAONE INTERMEDIAIRE;204;Route DE PONT DE VEYLE;01750;REPLONGES;0385310812;contact@vsi01.fr
ACI;001;AIN;01960;PERONNAS;8790B;Association déclarée, reconnue d'utilité publique;77554456200173;ORSAC CAVA;130;Rue DES TAMARIS;01960;PERONNAS;0474327625;social.fat.orsac.cava@wanadoo.fr
EI;001;AIN;01800;CHARNOZ SUR AIN;3832Z;SA à conseil d'administration (s.a.i.);35352535500114;TRIALP;;Route DE MEXIMIEUX;01800;CHARNOZ SUR AIN;0479964105;mburnet@trialp.com
ACI;001;AIN;01100;OYONNAX;8130Z;Association déclarée d'insertion par l'économique;40049174200039;ENTREPRISE INSERTION DES JEUNES ET ADULTESDE L AIN;14;Rue GAGARINE;01100;OYONNAX;0474776174;eija@cegetel.net
ACI;001;AIN;01500;AMBERIEU EN BUGEY;8899B;Association déclarée ;42919265100025;ASSOC LES RESTAURANTS DU COEUR;;Chemin DE LA CROIX ST GEORGES;01500;AMBERIEU EN BUGEY;;ad01.jardinducoeur@restosducoeur.org
AI;001;AIN;01000;BOURG EN BRESSE;7830Z;Association déclarée ;33422419300048;ASSOC AINTER JOB;171;Avenue DE SAN SEVERO;01000;BOURG EN BRESSE;0474222820;pascaline.bargel@ag2i.org
EI;001;AIN;01150;BLYES;8790B;Association déclarée, reconnue d'utilité publique;77554456201023;ASSOC ORSAC ENVOL;;Allée DES PRUNUS;01150;BLYES;0474465400;b.astic@envol-orsac.fr
ETTI;001;AIN;01000;BOURG EN BRESSE;7820Z;SARL coopérative ouvrière de production (SCOP);41071771400027;AINTERIM AIR;171;Avenue DE SAN SEVERO;01000;BOURG EN BRESSE;0474223112;cedrick.taron@ag2i.org
AI;001;AIN;01700;ST MAURICE DE BEYNOST;9499Z;Association déclarée ;34356040500023;COTIERE AVENIR;7;Avenue DES ECOLES;01700;ST MAURICE DE BEYNOST;0478555743;compta@cotiere-avenir.fr
AI;001;AIN;01300;BELLEY;7830Z;Association déclarée ;39855374300046;ASSOC AVENIR;; PLA PARKING DU CLOS DUBOST;01300;BELLEY;0479810408;hmorney@orange.fr
ACI;001;AIN;01100;ARBENT;8899B;Association déclarée ;53069808300017;RECYCL'AIRE;9;Rue DES GROTTES;01100;ARBENT;0474776187;fguilley@groupesolidaire.org
ACI;001;AIN;01500;ST MAURICE DE REMENS;0113Z;Association déclarée, reconnue d'utilité publique;77554456201429;ORSAC;; CRESSONNIERE DU BUGEY;01500;ST MAURICE DE REMENS;0474465400;phil.felix@orsac01.fr
ACI;001;AIN;01600;TREVOUX;8891A;Association déclarée ;35310692500079;ASSOC VAL HORIZON;178;Chemin D ARRAS;01600;TREVOUX;0474088203;francois.buton@valhorizon.fr
EI;001;AIN;01000;BOURG EN BRESSE;4520A;SAS, société par actions simplifiée;81142145200012;SAS NET AUTO PREMIUM BOURG EN BRESSE;171;Avenue DE SAN SEVERO;01000;BOURG EN BRESSE;0474222251;cedrick.taron@ag2i.org
AI;001;AIN;01500;AMBERIEU EN BUGEY;7830Z;Association intermédiaire ;48250406500020;ASSOC REPONSES;4;Place ROBERT MARCELPOIL;01500;AMBERIEU EN BUGEY;0474385729;associationreponses@sfr.fr
AI;002;AISNE;02330;CONDE EN BRIE;8899B;Association déclarée ;39911508800011;ASSOC AICCB;1;Rue DE CHAURY;02330;CONDE EN BRIE;0323828317;aiccb@orange.fr
AI;002;AISNE;02380;COUCY LE CHATEAU AUFFRIQUE;9609Z;Association déclarée ;79274790900010;ASSOC POINT DU JOUR;14;Avenue DE LAON;02380;COUCY LE CHATEAU AUFFRIQUE;0323399681;boucher.lpdj@orange.fr
ACI;002;AISNE;02160;CRAONNE;8411Z;Communauté de communes ;24020059200030;COMMUNAUTE DE COM CHEMIN DES DAMES;1;Rue DE L'EGLISE;02160;CRAONNE;0323227630;nhachet.cccd@orange.fr
EI;002;AISNE;02000;LAON;8899B;Association déclarée ;35284737000033;REGIE DE QUARTIERS;11;Rue EDOUARD BRANLY;02000;LAON;0323796283;regie.dequartiers@laposte.net
ACI;002;AISNE;02270;CRECY SUR SERRE;8411Z;Communauté de communes ;24020046900098;COMMUNAUTE DE COM DU PAYS DE LA SERRE;1;Rue DES TELLIERS;02270;CRECY SUR SERRE;0323807722;sylvie.bouchenoir@paysdelaserre.fr
ACI;002;AISNE;02000;AULNOIS SOUS LAON;8899B;Association déclarée ;39952741500018;ASSOC ATELIERS INSERTION RESTOS DU COEUR AISNE;;Rue DE CHAMBRY;02000;AULNOIS SOUS LAON;0323228073;f.buvryrestoducoeur@gmail.com
ACI;002;AISNE;02610;MOY DE L AISNE;9499Z;Association déclarée ;37832362000021;ADERMAS;11;Rue BERNARD TESTART;02610;MOY DE L AISNE;0323077997;severinemberna@yahoo.fr
ACI;002;AISNE;02400;CHATEAU THIERRY;8411Z;Commune et commune nouvelle ;21020155400016;COM DE CHATEAU THIERRY;16;Place DE L HOTEL DE VILLE;02400;CHATEAU THIERRY;0323848686;catherine.lerond@ville-chateau-thierry.fr
ACI;059;AISNE;59157;BEAUVOIS EN CAMBRESIS;8559A;Association déclarée ;48215582700025;ASSOC HORTIBAT;;Route NATIONALE;59157;BEAUVOIS EN CAMBRESIS;0327851537;cdreumont.hortibat@laposte.net
AI;002;AISNE;02290;AMBLENY;8899B;Association déclarée ;40214899300031;ASSOC EMPLOIS ET SERVICES;30;Rue D HYGNIERES;02290;AMBLENY;0323740699;association-emplois-et-services@orange.fr
ETTI;002;AISNE;02100;ST QUENTIN;7820Z;Société à responsabilité limitée (sans autre indication);50796672900083;CAP INTERIM 02;18;Boulevard LEON BLUM;02100;ST QUENTIN;0323060764;capinterim80asp@capinterimfrance.fr
ACI;002;AISNE;02310;VILLIERS ST DENIS;9499Z;Association déclarée ;80013049400019;AU BAS DE L AISNE;9;Rue D'ESSOMES;02310;VILLIERS ST DENIS;0687286312;etiaubasdelaisne@gmail.com
ACI;002;AISNE;02000;LAON;8411Z;Commune et commune nouvelle ;21020387300018;COM DE LAON;;Place DU GENERAL LECLERC;02000;LAON;0323228742;smichelet@ville-laon.fr
EI;002;AISNE;02200;POMMIERS;3832Z;Association déclarée ;81322907700025;ASSOC LE BOIS DE DEUX MAINS;150;Route DE COMPIEGNE;02200;POMMIERS;0323532723;j.ancelin@seve-mobilier.fr
ACI;002;AISNE;02380;COUCY LE CHATEAU AUFFRIQUE;8899B;Association déclarée ;44167528700029;ASSOC OG FERME DE MOYEMBRIE;17;Route DE MOYEMBRIE;02380;COUCY LE CHATEAU AUFFRIQUE;0323527329;demarchesresidentsmoyembrie@gmail.com
AI;002;AISNE;02610;MOY DE L AISNE;8899B;Association déclarée ;39190492700038;ASSOC SAAT;5;Rue DE LA REPUBLIQUE;02610;MOY DE L AISNE;0323071818;saat02@wanadoo.fr
ACI;002;AISNE;02300;CHAUNY;8411Z;Communauté d'agglomération ;20007178500014;COM AGGLO CHAUNY TERGNIER LA FERE;57;Boulevard GAMBETTA;02300;CHAUNY;0323399494;s.girard@ctlf.fr
ACI;002;AISNE;02000;AULNOIS SOUS LAON;8411Z;Communauté d'agglomération ;20004349500015;COMMUNAUTE AGGLOMERATION DU PAYS DE LAON;60;Rue DE CHAMBRY;02000;AULNOIS SOUS LAON;0323223100;czanelli@ca-paysdelaon.fr
ACI;002;AISNE;02000;LAON;8411Z;Département ;22020002600015;DEPARTEMENT DE L'AISNE;2;Rue PAUL DOUMER;02000;LAON;0323248872;slefevre@aisne.fr
AI;002;AISNE;02120;GUISE;8899B;Association intermédiaire ;37796519900039;ASSOC THIERACHE MULTI SERVICES;99;Rue CAMILLE DESMOULINS;02120;GUISE;0323611305;thierache.ms@orange.fr
ACI;008;AISNE;08380;SIGNY LE PETIT;8899B;Association déclarée ;41141502900056;LE CHENELET;13;Rue DES GREVES;08380;SIGNY LE PETIT;0321357824;dbaron@chenelet.org
AI;002;AISNE;02200;SOISSONS;9609Z;Association déclarée ;34855218300041;ASSOC AID SERVICES;10;Rue SAINT QUENTIN;02200;SOISSONS;0323733326;secretariat@aid-service.asso.fr
ACI;002;AISNE;02100;ST QUENTIN;8559B;Association déclarée ;79500184100019;ADF 02;4;Rue CHARLES PICARD;02100;ST QUENTIN;0323629500;ad.formation-stquentin@sfr.fr
AI;002;AISNE;02110;BOHAIN EN VERMANDOIS;7830Z;Association intermédiaire ;35409440100040;AVES;6;Rue BERTHELOT;02110;BOHAIN EN VERMANDOIS;0323072667;vmaia@aves-vermandois.fr
ACI;002;AISNE;02210;HARTENNES ET TAUX;8899B;Association déclarée ;83248651800018;ASSOC LES ATELIERS DE TAUX;14; HAMEAUX DE TAUX;02210;HARTENNES ET TAUX;0962545602;lesateliersdetaux@gmail.com
ACI;002;AISNE;02410;ST GOBAIN;9499Z;Association déclarée ;53742512600027;ASSOCIATION AU SERVICE DE L HOMME ET DE L ENVIRONN;;Place DOUMER;02410;ST GOBAIN;;henonmathieu@orange.fr
ACI;002;AISNE;02200;PLOISY;1399Z;Association déclarée ;79046248500018;ACI CHIFFONS D ESSUYAGE PICARDIE CEP;255;Rue DES LABOUREURS;02200;PLOISY;0323534372;cbillon@lerelais.org
ACI;002;AISNE;02200;POMMIERS;3832Z;Association déclarée ;81322907700025;ASSOC LE BOIS DE DEUX MAINS;150;Route DE COMPIEGNE;02200;POMMIERS;0323532723;j.ancelin@seve-mobilier.fr
ACI;002;AISNE;02210;OULCHY LE CHATEAU;8411Z;Communauté de communes ;24020051900058;COMMUNAUTE DE COM  DU CANTON D OULCHY LE CHATEAU;17;Rue POTEL;02210;OULCHY LE CHATEAU;0323556520;emploiinsertion@cc-oulchylechateau.fr
ACI;002;AISNE;02500;HIRSON;8899B;Centre communal d'action sociale ;26020372400042;CTRE COM ACTION SOCIALE  d'HIRSON;55;Rue DE LORRAINE;02500;HIRSON;0323587530;ccas@hirson.net
ACI;002;AISNE;02400;NOGENTEL;9499Z;Association déclarée ;77568030902088;ASSOC COALLIA;17;Rue DES PRES;02400;NOGENTEL;0323260765;virginie.martin@coallia.org
ACI;002;AISNE;02600;VILLERS COTTERETS;8411Z;Communauté de communes ;20007199100018;COM DE COM RETZ EN VALOIS;9;Avenue MARX DORMOY;02600;VILLERS COTTERETS;0323961301;s.tellier@retzenvalois.fr
ACI;002;AISNE;02820;ST ERME OUTRE ET RAMECOURT;8411Z;Communauté de communes ;24020057600025;COMMUNAUTE DE COM DE LA CHAMPAGNE PICARDE;2;Route DE MONTAIGU;02820;ST ERME OUTRE ET RAMECOURT;0323223680;administration@cc-champagnepicarde.fr
ACI;002;AISNE;02170;LE NOUVION EN THIERACHE;8411Z;Commune et commune nouvelle ;21020535700010;COM DU NOUVION EN THIERACHE;;Place DU GENERAL DE GAULLE;02170;LE NOUVION EN THIERACHE;0323975300;melanieleclercq@lenouvion.com
ACI;002;AISNE;02140;FONTAINE LES VERVINS;8532Z;Établissement public local d'enseignement ;19021522800015;LYCEE GEN TECHNOLOGI AGRICOLE THIERACHE;;Lieu-dit DU PONT DE PIERRE;02140;FONTAINE LES VERVINS;0323913405;etienne.meyer@educagri.fr
ACI;002;AISNE;02880;CUFFIES;8411Z;Communauté d'agglomération ;24020047700026;COMMUNAUTE D'AGGLOMERATION DU SOISSONNAIS;11;Avenue FRANCOIS MITTERRAND;02880;CUFFIES;0323538840;egadret@agglo-soissonnais.com
ACI;002;AISNE;02200;SOISSONS;9499Z;Association déclarée ;83523687800012;REALISATION PAR L'EMPLOI ET L'ACCOMPAGNEMENT LOCAL;29;Rue PIERRE CURIE;02200;SOISSONS;;rdeminiac@ptce-aliss.org
AI;002;AISNE;02000;LAON;8559A;Association intermédiaire ;35389603800059;TRAVAUX EXPRESS DEPANNAGES;13;Rue ARMAND BRIMBEUF;02000;LAON;;ted4@wanadoo.fr
ETTI;002;AISNE;08000;CHARLEVILLE MEZIERES;7830Z;Société en nom collectif ;79925729000038;A2I EST;53;Avenue D ARCHES;08000;CHARLEVILLE MEZIERES;0365610560;julie.lavisse@groupeactual.eu
EI;059;AISNE;59157;BEAUVOIS EN CAMBRESIS;8130Z;SAS, société par actions simplifiée;81438664500018;OZMOZ;;Route NATIONALE;59157;BEAUVOIS EN CAMBRESIS;0645814489;bruno.minchilli@hotmail.fr
ACI;002;AISNE;02260;LA CAPELLE;8411Z;Communauté de communes ;24020044400026;COMMUNAUTE DE COM DE LA THIERACHE DU CENTRE;;Rue DE L'ARMISTICE;02260;LA CAPELLE;0323973600;i.pierrart@cc-tc.com
ACI;002;AISNE;02000;LAON;8559A;Association intermédiaire ;35389603800059;TRAVAUX EXPRESS DEPANNAGES;13;Rue ARMAND BRIMBEUF;02000;LAON;;ted4@wanadoo.fr
EI;002;AISNE;02200;PLOISY;9609Z;SA coopérative ouvrière de production (SCOP) à conseil d'administration;41199701800055;SARL RELAIS NORD EST ILE DE FRANCE;255;Rue DES LABOUREURS;02200;PLOISY;0323534372;cbillon@lerelais.org
EI;002;AISNE;02200;SOISSONS;9601B;Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle ;49243215800011;LA BLANCHISSERIE CENTRALE;7;Rue DE L'EMAILLERIE;02200;SOISSONS;0323733286;oe@la-blanchisserie-centrale.fr
AI;002;AISNE;02400;CHATEAU THIERRY;7830Z;Association intermédiaire ;34859156100041;ASS INTERMED PETITS BOULOTS DE L'OMOIS;47; GRANDE RUE;02400;CHATEAU THIERRY;;akim.ait@orange.fr
ACI;002;AISNE;02200;VILLENEUVE ST GERMAIN;4520A;Association déclarée ;83791458900010;AXOMECA;574;Avenue FLANDRES DUNKERQUE 1940;02200;VILLENEUVE ST GERMAIN;;s.auchecorne@dabusinessdev.com
ACI;002;AISNE;02400;BRASLES;9499Z;Association déclarée ;40203491200012;ASSOC ARBRES;;Place GEORGES ET GASTON BRIGOT;02400;BRASLES;0323711565;association.arbres@orange.fr
ACI;002;AISNE;02110;BOHAIN EN VERMANDOIS;7830Z;Association intermédiaire ;35409440100040;AVES;6;Rue BERTHELOT;02110;BOHAIN EN VERMANDOIS;0323072667;vmaia@aves-vermandois.fr
ACI;002;AISNE;02360;ROZOY SUR SERRE;8411Z;Communauté de communes ;24020063400022;COMMUNAUTE DE COM DES PORTES DE LA THIERACHE;320;Rue DES VERSEAUX;02360;ROZOY SUR SERRE;0323980454;luzabiaga@portes-de-thierache.fr
ACI;002;AISNE;02100;ST QUENTIN;8899B;Association déclarée ;49210427800030;ASSOC AIPSQ INSERTION DU PAYS SAINT QUENTINOIS;20;Rue DU DOCTEUR BOURBIER;02100;ST QUENTIN;0323041851;assoc.aipsq@orange.fr
ACI;002;AISNE;02320;PINON;8411Z;Communauté de communes ;20007176900018;COM DE COM PICARDIE DES CHATEAUX;6;Place CHARLES DE GAULLE;02320;PINON;0323801813;c.insertion@picardiedeschateaux.fr
ETTI;002;AISNE;02140;VERVINS;7820Z;Société en nom collectif ;79931299600058;A2I PARIS IDF NORD;;Rue D HIRSON;02140;VERVINS;;mariemadeleine.manteau@groupeactual.eu
ACI;002;AISNE;02500;HIRSON;8899B;Association déclarée ;35200717300037;QUICK MULTI SERVICES;;Rue MARCEL BOURGEOIS;02500;HIRSON;0323581048;asso.qms@orange.fr
ACI;002;AISNE;02000;LAON;8899B;Association déclarée ;35284737000033;REGIE DE QUARTIERS;11;Rue EDOUARD BRANLY;02000;LAON;0323796283;regie.dequartiers@laposte.net
AI;002;AISNE;02500;HIRSON;8899B;Association déclarée ;35200717300037;QUICK MULTI SERVICES;;Rue MARCEL BOURGEOIS;02500;HIRSON;0323581048;asso.qms@orange.fr
ACI;002;AISNE;02290;AMBLENY;8899B;Association déclarée ;40214899300031;ASSOC EMPLOIS ET SERVICES;30;Rue D HYGNIERES;02290;AMBLENY;0323740699;association-emplois-et-services@orange.fr
ACI;002;AISNE;02110;BOHAIN EN VERMANDOIS;8559A;Association déclarée ;38128472800031;DEVENIR EN VERMANDOIS;6;Rue BERTHELOT;02110;BOHAIN EN VERMANDOIS;0323072667;thierry.mfile@free.fr
AI;002;AISNE;02100;ST QUENTIN;7830Z;Association déclarée ;39170733800037;ASSOC SPIRALE;117;Rue D EPARGNEMAILLES;02100;ST QUENTIN;0323041055;spirale02100@gmail.com
ACI;002;AISNE;02400;CHATEAU THIERRY;7830Z;Association intermédiaire ;34859156100041;ASS INTERMED PETITS BOULOTS DE L'OMOIS;47; GRANDE RUE;02400;CHATEAU THIERRY;;akim.ait@orange.fr
AI;002;AISNE;02100;ST QUENTIN;7830Z;Association intermédiaire ;40898024100082;ASSOC DEFI SERVICES;54;Rue PIERRE RAMUS;02100;ST QUENTIN;0323671071;defi-services@orange.fr
ETTI;002;AISNE;02100;ST QUENTIN;7820Z;SAS, société par actions simplifiée;40101593800129;HUMANDO;12;Place LA FAYETTE;02100;ST QUENTIN;0323066220;isabelle.ambroise@humando.fr
ACI;002;AISNE;02380;COUCY LE CHATEAU AUFFRIQUE;9609Z;Association déclarée ;41800001400021;ASSOC CHATEAU POUR L EMPLOI;14;Avenue DE LAON;02380;COUCY LE CHATEAU AUFFRIQUE;0323526910;ucpecompta@orange.fr
AI;002;AISNE;02600;VILLERS COTTERETS;8899B;Association déclarée ;38761823400026;ASSOC PETITS BOULOTS;8;Rue ALEXANDRE DUMAS;02600;VILLERS COTTERETS;0323960541;association.les-petits-boulots@wanadoo.fr
EI;002;AISNE;02490;VERMAND;3319Z;Société à responsabilité limitée (sans autre indication);51892522700028;SCIC SOLIBOIS & CO;1;Rue DE VILLECHOLLES;02490;VERMAND;0323072667;solibois.co@free.fr
AI;003;ALLIER;03200;VICHY;7810Z;Association intermédiaire ;34301281100042;ASSOC A VOTRE SERVICE AVS;38;Place JEAN EPINAT;03200;VICHY;0470975092;claude.cugnet@wanadoo.fr
EI;003;ALLIER;03000;MOULINS;8899B;Association déclarée ;41817097300014;REGIE MOULINS SUD;;Rue HENRI BARBUSSE;03000;MOULINS;0470351085;lconvert@regiemoulinssud.fr
ACI;003;ALLIER;03150;VARENNES SUR ALLIER;8411Z;Communauté de communes ;20007147000013;COM DE COM ENTR ALLIER BESBRE ET LOIRE;18;Rue DE VOUROUX;03150;VARENNES SUR ALLIER;0470450099;stephanie.michel@interco-abl.fr
ACI;003;ALLIER;03160;BOURBON L ARCHAMBAULT;8899B;Association déclarée ;75012434900010;ASSOC EPICERIE SOLIDAIRE DU BOCAGE BOURBONNAIS;;Place DE L HOTEL DE VILLE;03160;BOURBON L ARCHAMBAULT;0761181961;catherine.epiceriedubocage@live.fr
EI;003;ALLIER;03000;MOULINS;0162Z;Association déclarée ;82436693400019;ASSOC ACTIV AGRI;20;Avenue MEUNIER;03000;MOULINS;0470353501;dm.activagri@msaservices-auvergne.fr
AI;003;ALLIER;03500;ST POURCAIN SUR SIOULE;7810Z;Association intermédiaire ;34255976200048;ASSOC ADEF;31;Rue FAUBOURG PALUET;03500;ST POURCAIN SUR SIOULE;0470206270;adefplus.perment@orange.fr
ACI;003;ALLIER;03390;MONTMARAULT;8899B;Association déclarée ;37854985100012;ASSOC ADEM;7;Rue DE LA REPUBLIQUE;03390;MONTMARAULT;0470026011;d.guy@adem03.fr
ACI;003;ALLIER;03100;MONTLUCON;8899B;Association déclarée ;39926478700058;ASSOC RESTAURANTS ET RELAIS DU COEUR DE L ALLIER;34;Avenue DE L EUROPE;03100;MONTLUCON;0470296795;ad03.siege@restosducoeur.org
EI;003;ALLIER;03100;MONTLUCON;4771Z;Association déclarée ;43905910600088;PENELOPE-ULYSSE;8;Rue ERNEST MONTUSES;03100;MONTLUCON;;gestion@penelope03.fr
ETTI;003;ALLIER;03000;MOULINS;7820Z;Association déclarée d'insertion par l'économique;39485379000316;ADEF PLUS;2;Rue DE BOURGOGNE;03000;MOULINS;0470206270;adefplus.perment@orange.fr
ACI;003;ALLIER;03400;YZEURE;8411Z;Commune et commune nouvelle ;21030321000012;MAIRIE D'YZEURE;;Place JULES FERRY;03400;YZEURE;0470485300;dudun_o@ville-yzeure.com
AI;003;ALLIER;03320;LURCY LEVIS;7830Z;Association intermédiaire ;34786800200010;ASSOC NORD BOCAGE;1;Boulevard GAMBETTA;03320;LURCY LEVIS;0470678559;air.nordbocage@orange.fr
EI;003;ALLIER;03410;DOMERAT;3832Z;SARL unipersonnelle ;50919841200025;E.V.E. ENVIRONNEMENT VALORISATION EMPLOI;;Rue Michel FAYE;03410;DOMERAT;0470292051;sebastien.raynaud@eve-valorisation.com
AI;003;ALLIER;03000;MOULINS;7830Z;Association intermédiaire ;33792998800026;ASSOC PARTAGE ET TRAVAIL;35;Place JEAN MOULIN;03000;MOULINS;0470209314;laurent.pt03@gmail.com
ACI;003;ALLIER;03000;MOULINS;8899B;Association déclarée ;41817097300014;REGIE MOULINS SUD;;Rue HENRI BARBUSSE;03000;MOULINS;0470351085;lconvert@regiemoulinssud.fr
ETTI;003;ALLIER;03000;MOULINS;7820Z;Association déclarée ;40057808400016;LASER 03;20;Avenue MEUNIER;03000;MOULINS;0470353636;didier.martel.laser03@msaservices-auvergne.fr
ACI;003;ALLIER;03000;MOULINS;9499Z;Association déclarée ;39858579400058;ASSOCIATION GALATEE;29;Cours JEAN JAURES;03000;MOULINS;0470206270;adefplus.perment@orange.fr
ACI;003;ALLIER;63200;RIOM;8899B;Association déclarée ;34776963000026;AVENIR;; LA LUAS;63200;RIOM;0473649238;contact@avenirinsertion.com
AI;003;ALLIER;03290;DOMPIERRE SUR BESBRE;7830Z;Association intermédiaire ;34852265700025;ASSOC AIDES;;Espace BOUDEVILLE;03290;DOMPIERRE SUR BESBRE;0470480123;aides-brasquies@orange.fr
AI;003;ALLIER;03100;MONTLUCON;7810Z;Association déclarée ;32559861300082;ASSOC COUP DE MAIN;108;Boulevard DE COURTAIS;03100;MONTLUCON;0470054310;ilasseur.cdm03@orange.fr
EI;003;ALLIER;03000;AVERMES;4333Z;Société à responsabilité limitée (sans autre indication);47893076100026;SylTie travaux;49;Route DE PARIS;03000;AVERMES;0470350617;accueil.travaux@syltie.fr
ACI;003;ALLIER;03300;CUSSET;8810C;Association déclarée ;79176895500027;SOLIDARITE INSERTION ENVIRONNEMENT SIEL;12;Chemin DE LA PERCHE;03300;CUSSET;0470967752;l.sancelme@siel.pro
ACI;003;ALLIER;03700;BELLERIVE SUR ALLIER;8899B;Association déclarée ;42925596100105;PAIN CONTRE LA FAIM;7;Chemin DE LA PRAT;03700;BELLERIVE SUR ALLIER;0470978660;pclf@orange.fr
AI;003;ALLIER;03000;MOULINS;7830Z;Association intermédiaire ;40058084100015;ASSOC LASER 03;20;Avenue MEUNIER;03000;MOULINS;0470353636;didier.martel.laser03@msaservices-auvergne.fr
ACI;003;ALLIER;03250;ARRONNES;8899B;Association déclarée ;52913369600029;JARDINS DE COCAGNE PAYS DE VICHY AUVERGNE;; ;03250;ARRONNES;0470418812;dir.cocagne.arronnes@sfr.fr
